	Right Answer	Wrong Answer 1	Wrong Answer 2	Wrong Answer 3	Story	Picture/Video name 	Source	Time for Story in s	Notes	
What are AI technologies not presently capable of?	Creating music that fools even the most seasoned musician into thinking it is from a famous composer	Speech recognition	Object and pattern recognition	Having a conversation and booking an appointment for a client	AI technologies have come a long way in the last decade! You can see that in our natural language processing and understanding. A recent demonstration of that is the new Google Assistant. But while our abilities are getting pretty impressive, we’re still taking baby steps in computational music creation.	MUTE_New_Google_AI.mp4	https://www.youtube.com/watch?v=lXUQ-DdSDoE 0:00-0:18	19	The story sounds grammatically weird and don't really like that "have come a far way" is used twice. -- was my story, edited it a bit (marked by bold font). better now? - Quynh 	
Complete this senstence: Watson is not...	A system which can cook your favorite pasta	A combination of dozens of AI-based technologies	A modular system with many different intelligent services	A system which once won Jeopardy	Watson is not a supercomputer, although it might appear as one. It is a modular system of many different intelligent services, like speech analysis, picture analysis, translations, or conversational assistance. Users can access these different services via cloud and integrate them into their organizational workflow.	IBMWatson.mp4	0:05-0:12 https://www.youtube.com/watch?v=_Xcmh1LQB9I			watson.png
Why does IBM believe that Artificial Intelligence is going to be an embedded part of machines and robots?	All answers are correct	Because the availability of data increased enormously	Because the impacts of Open Source and Open API-movements are becoming noticeable	Because AI as a cloud-service will become more affordable, while the quality of machine learning algorithms will improve rapidly	Several reasons for this conclusion exist: Firstly,they believe that AI cloud services will become much more affordable to purchase, while the quality of machine learning algorithms will improve rapidly. Secondly, the availability of data increased enormously. Lastly, the impacts of Open Source and Open API are becoming noticeable. This makes it much easier to combine them with intelligent services and applications.	IBMWatson.mp4	0:05-0:12 https://www.youtube.com/watch?v=_Xcmh1LQB9I	24		
What are the first fruits of IBM Watson?	Predictive Maintenance	The development of overthinking maintenance	Watson is overtaking the world	Watson is able to react autonomously to any human emotion with an appropriate emotion	An important operational area for IBM is Predictive Maintenance. AI based systems like Watson combine structured machine data with unstructured information such as handwritten recordings, speech, and videos, and then analyses and rates them. As a result, the development of a maintenance that is predictive instead of reactive is no longer a vision of the future.	maintenance.png		14		IBM_Watson_How_it_Works.mp4
Intelligent systems from IBM have been implemented in many projects of Cognitive Science students in Osnabrueck. Which of the following does not use IBM's services?  	Ethical/moral self-driving vehicles 	Flu prediction based on twitter data 	Pepper as a neuroscience tutor 	Intelligent crop rotation 	While moral decisions in self-driving vehicles are indeed investigated at our institute, we do not use IBM services for this project. Meanwhile, the other three projects use IBM Cloud services. The flu prediction uses the Watson Services, Pepper uses IBM Cloud services like Watson Discovery and Watson Conversation, and the crop rotation app required IBM's conversation tools for the chatbot as well as the Weather Company from IBM.	selfdriving.png		19		intelligence-artificielle.png
Where do the challenges of AI based technology lie?	The missing willingness to invest is an enormous barrier for the introduction, development, and implementation of AI systems	There are no technical challenges known	Many companies think that information technology has no future	More and more companies realize that the application of modern technology does not make a difference in bigger productivity or innovative capacity	Many companies suffer from investment accumulation regarding IT, because information technology has often been seen as a necessary evil and not as an opportunity. More and more companies realize that the application of modern technology can make a severe difference with regard to bigger productivity, innovative capacity and thereby more competitive ability.	oppurtunity.png	https://www.usine-digitale.fr/mediatheque/0/1/0/000283010/intelligence-artificielle.jpg	20		IBM_Watson_How_it_Works.mp4
Who is responsible for a self-learning robot which taught itself a certain function and then induces damages?	There is still industrial-comprehensive need for action regarding the question of liability for the misbehaviour of an intelligent robot or machine	The robot has a legal entity according to today’s law and can therefore autonomously take part in legal relations	The creator of the robot or AI is never responsible for any damages caused by the robot	Nobody is responsible for the damages caused by a self-learning (industrial) robot	Just as we robots are not able to effectively sign a contract, we are also not responsible for any caused damages. In the case of damage, the aggrieved party could assert a claim against several parties: the creator of the robot, the owner of the robot, the one responsible for the operation in this specific case, or even the party providing the information with which the robot learns.	lawyer.png	http://www.infolaw.co.uk/newsletter/wp-content/uploads/2017/07/robot1.png	23		
Who owns the data used by Watson?	The data is the intellectual property of the customer and will not be sold to anyone	The data is owned by IBM Watson. It can be sold to anyone	The data is owned by the US Government. They can scour the data for hints of criminal activity	The data is owned by the Illuminati and will be used for the purpose of world domination	Data protection is as important for Watson as it is for you and me. The data is completely owned by the users. They can completely decide what happens to the data. This is actually a major difference to other user-oriented AI's because they typically use all data provided by users. Of course, the data will also not be sold or transferred to third parties.	safety.png	0:05-0:12 https://www.youtube.com/watch?v=_Xcmh1LQB9I	20	changed AIs to Ai's	IBM_Watson_How_it_Works.mp4
There have been accusations that AI systems and the data they use are not transparent enough. How does Watson handle this?	It is completely up to the user what kind of data the system should use	The data is randomly pooled from the internet	The data is exclusively provided by Watson's "data experts”	The data is provided by the Illuminati for the purpose of world domination	Unlike most AI companies, it’s completely up to the user what kind of data the system can use. This means the data is completely transparent to the user. Hurray for data transparency!	IBMWatson.mp4	0:05-0:12 https://www.youtube.com/watch?v=_Xcmh1LQB9I	10	Did somebody change the story without commenting?	dataprotection.jpg
What is not true about Watson’s security services?	IBM’s expert security research team is called IBM X-Men Research	With more than 5000 patents, IBM is one of the biggest developers and providers of security systems	IBM’s security analysts follow 35 million security events in 150 countries daily	IBM supports the development of cognitive security systems	Watson is truly one of the leading providers of security services. IBM's security research firms include Security Lab Kassel and Watson X-Force research.	ibmsecurity.png	0:05-0:12 https://www.youtube.com/watch?v=_Xcmh1LQB9I	10	Changed including to include	IBM_Watson_How_it_Works.mp4
