PROJEKTE / BERUFE	Frage	Richtige Antwort	Falsche Antwort 1	Falsche Antwort 2	Falsche Antwort 3	Reaktion richtige Antwort	Reaktion falsche Antwort 1	Reaktion falsche Antwort 2	Reaktion falsche Antwort 3	Story (Pepper)	Bilddatei	Bild / Video	Beschreibung (Text)	Quelle	QR-Code Link
Dorf 2.0	Welches dieser Versorgungsmodelle findet bei GKV-Patienten die höchste Akzeptanz?	Ambulante Behandlungen im Krankenhaus 	Gemeinschaftspraxen 	Delegation ärztlicher Tätigkeiten an speziell qualifizierte Pflegekräfte 	Kontakt per Telefon, Video oder E-Mail 	Richtige Antwort! Die ambulante Behandlung im Krankenhaus fand bei einer Befragung von GKV-Patienten die höchste Akzeptanz.	Deine Antwort lag auf Platz 2. Die höchste Akzeptanz fand unter den befragten GKV-Patienten die ambulante Behandlung im Krankenhaus.	Deine Antwort lag auf Platz 3. Die höchste Akzeptanz fand unter den befragten GKV-Patienten die ambulante Behandlung im Krankenhaus.	Nein, diese Antwort hat den letzten Platz belegt. Die höchste Akzeptanz fand unter den befragten GKV-Patienten die ambulante Behandlung im Krankenhaus.	Mit innovativen Versorgungsformen für den ländlichen Raum beschäftigt sich auch das Projekt "Dorfgemeinschaft 2.0".	Folie11.PNG	Dorfgemeinschaft 2.0 (2019): Die Dorfgemeinschaft gestaltet Lebensräume. In: https://www.dorfgemeinschaft20.de/#close (Download 15.05.2019)	Im Projekt „Dorf 2.0“ wird in der Region „Grafschaft Bentheim/ Südliches Emsland“ modellhaft ein gesundheitsbezogenes Versorgungskonzept entwickelt. Die Basis bildet der Im Projekt „Dorf 2.0“ wird in der Region Grafschaft Bentheim / Südliches Emsland modellhaft ein gesundheitsbezogenes Versorgungskonzept entwickelt.  Die Basis bildet der „Virtuelle Dorfmarktplatz“, auf dem die Dienste zusammengeführt und zugänglich gemacht werden. Im ehemaligen Marienkrankenhaus in Nordhorn wird das „physische Zentrum“ des Projektes eingerichtet. Darüber hinaus werden in mehreren Ortschaften Dependancen geschaffen. 	Schang, L.; Schüttig, W., Sundmacher, L. (2016): Unterversorgung im ländlichen  Raum – Wahrnehmung der  Versicherten und ihre Präferenzen  für innovative Versorgungsmodelle. In: Böcken, J.; Braun, B. u. Meierjürgen, R. [Hrsg.]: Gesundheitsmonitor 2016.  	https://www.dorfgemeinschaft20.de/
Krankenhaus IT-Report	Wie viele Krankenhäuser stellen Arztbriefe für niedergelassene Ärzte NICHT elektronisch zur Verfügung?	82%	71%	48%	20%	Leider richtig - laut Eitie-Report Gesundheitswesen stellt nur etwa jedes fünfte Krankenhaus einen elektronischen Entlassbrief bereit.	Leider liegt die richtige Antwort nach Aussage des EiTie-Reports noch höher und zwar bei 82%. 	Leider liegt die richtige Antwort nach Aussage des EiTie-Reports noch höher und zwar bei 82%. 	Leider liegt die richtige Antwort nach Aussage des EiTie-Reports noch höher und zwar bei 82%. 	Der EiTie-Report Gesundheitswesen informiert regelmäßig über den aktuellen Stand der Nutzung von IT im Gesundheitswesen und gibt eine Trendprognose für die kommenden Jahre.	Folie12.PNG	Quelle: Hübner et al. (2018): IT-Report Gesundheitswesen. In: https://www.hs-osnabrueck.de/fileadmin/HSOS/Homepages/IT-Report_Gesundheitswesen/IT-Report_2018_final.pdf (Download 15.05.2019) 	Der „IT-Report Gesundheitswesen“ stellt eine regelmäßig durchgeführte Befragung von leitenden Personen in Krankenhäusern dar.  Er informiert Einrichtungen des Gesundheitswesens, der Wissenschaft, der IT-Industrie und der Politik über den aktuellen Stand der Nutzung von spezifischen Systemen und gibt eine Trendprognose für die kommenden Jahre. 	Hübner, U.; Esdar, M.; Hüsers, J.; Liebe, J.-D.; Rauch, S.; Thye, J. u. Weiß,  J.-P. (o.J.): IT-Report Gesundheitswesen. Hochschule Osnabrück 	https://www.hs-osnabrueck.de/de/it-report-gesundheitswesen/ 
Berufsdermatologie	Welcher Anteil aller Berufserkrankungen in Europa sind Hauterkrankungen?	ca. 40%	weniger als 10%	weniger als 2%	mehr als 60%	Nicht schlecht - Hauterkrankungen machen tatsächlich ca. 40 % aller Berufskrankheiten in Europa aus. 	Leider falsch! Berufsbedingte Hauterkrankungen sind viel häufiger und ca. 40% aller Berufskrankheiten in Europa aus.	Leider falsch! Berufsbedingte Hauterkrankungen sind viel häufiger und ca. 40% aller Berufskrankheiten in Europa aus.	Über 60%, das ist hoch - zu hoch. Tatsächlich machen Hautkrankheiten ca. 40% aller Berufskrankheiten in Europa aus. 	Der GesundheitsCampus Osnabrück unterstützte das Projekt "StandDerm" zur Prävention von berufsbedingten Hauterkrankungen.  	Folie13.PNG	Quelle: IDERM (2019): EU Projekt "StanDerm" liefert Mindeststandards zur Prävention beruflicher Hauterkrankungen. In: https://www.iderm.de/aktuelle-nachrichten-details/?tx_news_pi1%5Bnews%5D=94&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fc91f9102359262649a3f703a0027d54 (Download am 15.05.2019)	Der GesundheitsCampus Osnabrück unterstützte das Projekt "StandDerm" zur Prävention von berufsbedingten Hauterkrankungen.   Auf der Abschlussveranstaltung im Mai 2017 in Berlin präsentierten Dermatologen und Arbeitsmediziner aus 31 Ländern ein wissenschaftlich fundiertes Positionspapier mit Mindeststandards zur Vorbeugung, Früherkennung und Behandlung berufsbedingter Hauterkrankungen. 	STANDERM (o.J.): Common European standards on occupational skin disease prevention and patient management  COST Action TD1206. In: http://www.standerm.eu/no_cache/standerm.html (Zugriff am 14.05.2018)	https://www.iderm.de/aktuelle-nachrichten-details/?tx_news_pi1%5Bnews%5D=94&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fc91f9102359262649a3f703a0027d54 
eMedCare	Wie viel Prozent der Arztpraxen in Deutschland haben ihre Patientendokumentation mehrheitlich oder vollständig digitalisiert?	etwa 70%	etwa 90%	etwa 30% 	etwa 50% 	Ich habe es mit einem echten Experten zu tun! Deine Lösung ist richtig. 	Leider liegt die tatsächliche Zahl unter deiner Schätzung. Richtig wäre etwa 70% gewesen. 	Jetzt bist du aber ein Schwarzmaler. Die tatsächliche Zahl liegt mit 70% über deiner Schätzung	Jetzt bist du aber ein Schwarzmaler. Die tatsächliche Zahl liegt mit 70% deutlich über deiner Schätzung	Digital geht es auch im Projekt „eMedCare“ zu. Hier wird die Schnittstelle von Hausarztpraxis und ambulantem Pflegedienst durch digitale Technologie unterstützt.	Folie14.PNG	Quelle: Gesundheitsregion von Landkreis und Stadt Osnabrück (o.J.): eMedCare Emsland Osnabrück - digitale Brücke zwischen Hausarzt und Pflege. In: https://www.gesundheitsregion-os.de/netzwerke-und-projekte/emedcare (Download am 15.05.2019)  	Das Projekt „eMedCare“ soll die Schnittstelle zwischen pflegerischer und ärztlicher Versorgung von hochbetagten Menschen mit Pflegeeinstufung neu gestalten.   Durch die Entwicklung und Etablierung einer digitalen Plattform sollen die Akteure Hausarzt und Pflege besser vernetzt werden.  	Kassenärztliche Bundesvereinigung (2018):  PraxisBarometer Digitalisierung: Befragung 2019 läuft. In: https://www.kbv.de/html/praxisbarometer.php (Download am 15.05.2019) 	https://www.gesundheitsregion-os.de/netzwerke-und-projekte/emedcare 
Pflege	Wie viele Pflegekräfte waren 2017 in Deutschland tätig?	ca. 1,7 Millionen	ca. 3,2 Millionen	ca. 1,1 Millionen	ca. 2,4 Millionen	Hätte ich einen Hut auf, dann würde ich ihn ziehen. Super, deine Antwort ist richtig. 	Deine Antwort ist leider zu hoch gegriffen - es sind etwa 1,7 Millionen.	Ich bin froh, dass du bei dieser Frage daneben liegst  - es sind etwa 1,7 Millionen.	Deine Antwort ist leider zu hoch gegriffen - es sind etwa 1,7 Millionen.	An der Hochschule Osnabrück gibt es neben einem dualen Studium noch weitere Studienmöglichkeiten im Pflegebereich. 	Folie15.PNG	Hochschule Osnabrück (2019): Pflege (B.Sc.), dual. In: https://www.hs-osnabrueck.de/de/studium/studienangebot/bachelor/pflege-bsc-dual/ (Download 15.05.2019)	An der Hochschule Osnabrück werden verschiedene Studiengänge für Gesundheits- und Krankenpfleger angeboten darunter:   Pflegemanagement (B.A., 8 Semester) Pflegewissenschaft (B.A., 8 Semester) Pflege dual (B.Sc., 8 Semester, in Kooperation mit Berufsfachschulen) HELPP – Versorgungsforschung und -gestaltung (M.Sc., 4 Semester) Studiengang für Angehörige der Gesundheitsberufe   	Bundesministerium für Gesundheit (2018): Beschäftigte in der Pflege. In: https://www.bundesgesundheitsministerium.de/themen/pflege/pflegekraefte/beschaeftigte.html (Download am 15.05.2019) 	https://www.hs-osnabrueck.de/studium/studienangebot/studiengaenge-a-z/
Physiotherapie	Wie viel Prozent der Physiotherapeut*innen in Deutschland haben einen Bachelorabschluss? 	etwa 3%	etwa 10% 	etwa 5% 	etwa  15% 	Richtig gewählt, ich bin beeindruckt. 	Da hast du dich verschätzt. Richtig wäre etwa 3% gewesen.	Da hast du dich verschätzt. Richtig wäre etwa 3% gewesen.	Da hast du dich verschätzt. Richtig wäre etwa 3% gewesen.	An der Hochschule Osnabrück werden verschiedene Studiengänge für Physiotherapeuten angeboten	Folie16.PNG	Quelle: Hochschule Osnabrück (2019): International Physiotherapy (B.Sc.). In: https://www.hs-osnabrueck.de/de/studium/studienangebot/bachelor/international-physiotherapy-bsc/ (Download 15.05.2019) 	An der Hochschule Osnabrück werden verschiedene Studiengänge für Physiotherapeuten angeboten darunter:   Ergotherapie, Logopädie, Physiotherapie (B.Sc., 6 Semester) International Physiotherapy (B.Sc., 8. Semester)  Ergotherapie, Physiotherapie dual (B.Sc., 8 Semester) Physiotherapie (B.Sc., 9 Semester)  Manuelle Therapie (OMT) (M.Sc., 7. Semester) HELPP – Versorgungsforschung und -gestaltung (M.Sc., 4 Semester) 	Deutscher Verband für Physiotherapie (2019): Zahlen, Daten, Fakten zur Physiotherapie (Download 15.05.2019)  	https://www.hs-osnabrueck.de/studium/studienangebot/studiengaenge-a-z/
Psychotherapie	Aktuell wird eine Reform der Psychotherapieausbildung diskutiert. Von wievielen Approbationen im Jahr geht das Be Äm Ge aus?	etwa 2.500	etwa 12.000	etwa 1.500	etwa 5.000	Korrekt! Das Be Äm Ge rechnet mit 2.500 Studierenden, die pro Jahr eine Approbation erreichen werden.	Nee, das wäre eine echte Therapeutenschwemme. Das Be Äm Ge rechnet mit 2.500 Studierenden, die pro Jahr eine Approbation erreichen werden.	Nah dran, aber das Be Äm Ge rechnet mit 2.500 Studierenden, die pro Jahr eine Approbation erreichen werden.	Mach die Hälfte draus. Das Be Äm Ge rechnet mit 2.500 Studierenden, die pro Jahr eine Approbation erreichen werden.	Ein Teil dieser Psychotherapeuten wird auch zukünftig an der Universität Osnabrück ausgebildet werden, die neben zwei Psychotherapieambulanzen zahlreiche Praxiskooperationen betreibt.	Folie17.PNG		An der Universität Osnabrück werden verschiedene Studiengänge im Fachbereich Psychologie angeboten:  Psychologie (B.Sc., 6 Semester)  Psychologie - Schwerpunkt Klinische Psychologie (M. Sc., 4 Semester)  Psychologische Psychotherapie – Weiterbildungsstudiengang (2 Semester)  	IKK e.V. (2017): Psychotherapie in Zahlen. In: https://www.ikkev.de/politik/gkv-in-zahlen/psychotherapie-in-zahlen/ (Download am 15.05.2019) 	https://www.uni-osnabrueck.de/studieninteressierte/studiengaenge_a_z.html 
Ergotherapie	Ergotherapeuten fördern die geistigen und körperlichen Fähigkeiten von Patienten und sind in vielen Bereichen tätig. Aber wie viele Ergotherapeuten gibt es eigentlich in Deutschland?	etwa 59.000	etwa 39.000	etwa 89.000	etwa 19.000 	Ich glaube hier weiß jemand wovon er redet! Deine Antwort ist richtig. 	Knapp daneben ist auch vorbei. Richtig wäre etwa 59 Tausend gewesen.	Da liegst du aber gewaltig daneben. Richtig wäre etwa 59 Tausend gewesen.	Da liegst du aber gewaltig daneben. Richtig wäre etwa 59 Tausend gewesen.	Die Hochschule Osnabrück bietet verschiedene, interprofessionelle Studiengänge für Ergotherapeuten an.	Folie18.PNG	Quelle: Hochschule Osnabrück (2019): Ergotherapie, Physiotherapie (B.Sc.), dual. In: https://www.hs-osnabrueck.de/de/studium/studienangebot/bachelor/ergotherapie-physiotherapie-bsc-dual/ (Download 15.05.2019) 	An der Hochschule Osnabrück werden verschiedene Studiengänge für Ergotherapeuten angeboten darunter:  Ergotherapie, Logopädie, Physiotherapie (B.Sc., 6 Semester) Ergotherapie, Physiotherapie dual (B.Sc., 8 Semester) HELPP – Versorgungsforschung und -gestaltung (M.Sc., 4 Semester) Studiengang für Angehörige der Gesundheitsberufe  	Deutscher Verband der Ergotherapeuten e. V. (2017): 59.000 Ergotherapeuten in Deutschland. In: https://dve.info/service/aktuelles/922-59-000-ergotherapeuten-in-deutschland (Download am 15.05.2019)	https://www.hs-osnabrueck.de/studium/studienangebot/studiengaenge-a-z/
Logopädie	Wie viele berufstätige Sprachtherapeuten gibt es eigentlich in Deutschland?	ungefähr 16 Tausend	ungefähr 6 Tausend	ungefähr 116 Tausend	ungefähr 216 Tausend 	Gut gemacht, deine Antwort ist richtig. 	Deine Auswahl ist zu niedrig. Richtig wäre ungefähr 16 Tausend gewesen	Deine Auswahl ist zu hoch. Richtig wäre ungefähr 16 Tausend gewesen. 	Deine Auswahl ist zu hoch. Richtig wäre ungefähr 16 Tausend gewesen. 	An der Hochschule Osnabrück werden verschiedene Studiengänge für Logopäden angeboten 	Folie19.PNG	Quelle: Hochschule Osnabrück (2019): Ergotherapie, Logopädie, Physiotherapie (B.Sc.). In: https://www.hs-osnabrueck.de/de/studium/studienangebot/bachelor/ergotherapie-logopaedie-physiotherapie-bsc/ (Download 15.05.2019) 	An der Hochschule Osnabrück werden verschiedene Studiengänge für Logopäden angeboten darunter:  Ergotherapie, Logopädie, Physiotherapie (B.Sc., 6 Semester)  HELPP – Versorgungsforschung und -gestaltung (M.Sc., 4 Semester) Studiengang für Angehörige der Gesundheitsberufe  	Verband Deutscher Logopäden und Sprachtherapeutischer Berufe e.V. (o.J.): Zahlen · Daten · Fakten. In: https://www.vdls-ev.de/praxisfuehrung-aussichten/ (Download am 15.05.2019)	https://www.hs-osnabrueck.de/studium/studienangebot/studiengaenge-a-z/
Hebammen	Bis 2020 muss die Hebammenausbildung auch in Deutschland durch ein Studium erfolgen. Dabei gibt es ein Bachelor-Studium für angehende Hebammen bereits seit ...	2008	2000	2017	1994	Richtig! Das passierte im Wintersemester 2008/2009 und zwar an der Hochschule Osnabrück. 	Nein, soweit waren wir da in Deutschland noch nicht. Der erste Studiengang für Hebammen startete 2008 in Osnabrück.	Nein, da sind wir schon ein bisschen weiter: Der erste Studiengang für Hebammen startete 2008 in Osnabrück.	Nein, soweit waren wir da in Deutschland noch nicht. Der erste Studiengang für Hebammen startete 2008 in Osnabrück.	An der Hochschule Osnabrück bieten wir einen innovativen Studiengang für Hebammenschüler und examinierte Hebammen an  	Folie20.PNG	Quelle: Hochschule Osnabrück (2019): Midwifery (B.Sc.). In: https://www.hs-osnabrueck.de/de/studium/studienangebot/bachelor/midwifery-bsc/ (Download am 15.05.2019)  	An der Hochschule Osnabrück bieten wir einen innovativen Studiengang für Hebammenschüler und examinierte Hebammen  Midwifery (B. Sc., 6 Semester mit Einstieg in das 4. Semester, in Kooperation mit Berufsfachschulen)  	Sahmel, K.-H. (2018): Hochschuldidaktik der Pflege und Gesundheitsfachberufe. Berlin. Springer 	https://www.hs-osnabrueck.de/studium/studienangebot/studiengaenge-a-z/
